
============================
 Flower Shop Server Started
============================
[2023-05-31T13:30:01.738260900] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:30:01.905261400] Class: PSK.FlowerShop.controller.ProductController, Method: getProductById
[2023-05-31T13:30:01.909261200] Class: PSK.FlowerShop.service.ProductService, Method: getProductById
[2023-05-31T13:30:01.909261200] Class: PSK.FlowerShop.controller.ProductController, Method: getProductById
[2023-05-31T13:30:01.909261200] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:30:01.909261200] Class: PSK.FlowerShop.service.ProductService, Method: getProductById
[2023-05-31T13:30:01.910260600] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:30:04.065237500] Class: PSK.FlowerShop.controller.ProductController, Method: getProductById
[2023-05-31T13:30:04.065237500] Class: PSK.FlowerShop.service.ProductService, Method: getProductById
[2023-05-31T13:30:04.066238100] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:30:04.069235500] Class: PSK.FlowerShop.controller.ProductController, Method: getProductById
[2023-05-31T13:30:04.069235500] Class: PSK.FlowerShop.service.ProductService, Method: getProductById
[2023-05-31T13:30:04.069235500] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:31:20.914737400] Class: PSK.FlowerShop.controller.ProductController, Method: getProductById
[2023-05-31T13:31:20.915738800] Class: PSK.FlowerShop.service.ProductService, Method: getProductById
[2023-05-31T13:31:20.916740100] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:31:20.927738500] Class: PSK.FlowerShop.controller.ProductController, Method: getProductById
[2023-05-31T13:31:20.927738500] Class: PSK.FlowerShop.service.ProductService, Method: getProductById
[2023-05-31T13:31:20.927738500] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:31:23.812774700] Class: PSK.FlowerShop.controller.OrderController, Method: createOrder
[2023-05-31T13:31:23.815774300] Class: PSK.FlowerShop.Validators.SpecializedOrderValidator, Method: validate
